Weapon;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Armor;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Vehicle;;;;;;;
63;Emplacement de droid astromech;-;3000;0;5;2;
63;Lanceur de mines gravitationnelles;-;3500;0;6;1;
63;Circuits renforcés;-;4500;0;5;2;
63;Renfort de coque;-;2500;0;4;2;
63;Contremesures physiques;-;2200;0;4;1;
64;Bélier;-;6500;0;3;2;
65;Circuit de controle à distance;-;10000;0;2;1;
Crystal;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
