Energy;;;;;;;;;;;
94;Pistolet blaster CDEF;Lég;5;4;Moy;1;1;-;150;4;Mauvaise qualité,Réglage étourdissant
94;Pistolet de duel;Lég;9;2;Cou;2;2;-;750;5;Précis 1,Munitions limités 1,Perforant 1
94;Pistolet blaster léger HL-27;Lég;5;3;Moy;1;2;-;450;4;Précis 1,Réglage étourdissant
95;Pistolet blaster léger XL-2 'TirFlash';Lég;5;3;Moy;1;3;-;450;5;Désorientation 1,Réglage étourdissant
95;Pistolet blaster H-7 'Equalizer';Lég;7;2;Moy;2;3;-;1200;8;Réglage étourdissant,Bonne qualité
96;Pistolet blaster de poche 'Spukami';Lég;5;3;Cou;1;1;-;200;2;Réglage étourdissant
96;Pistolet blaster lourd CR-2;Lég;7;4;Moy;2;2;-;600;5;Réglage étourdissant
96;Blaster de sport CR-Z;Lou;8;4;Lon;3;4;-;600;4;Réglage étourdissant
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Slugthrowers;;;;;;;;;;;
97;Pistolet automatique ASP-9 'Vrelt';Lég;4;5;Cou;1;0;-;150;4;Automatique
97;Fusil de chasse 'Panthère des sables';Lou;7;5;Lon;5;2;-;1750;7;Précis 1,Encombrant 2
97;Tireur de fragment Sélonien;Lou;5;3;Moy;4;2;-;1500;7;Automatique,Perforant 1
97;Arc composite Corrélien;Lou;5;5;Moy;3;1;-;200;5;Encombrant 3,Renversement,Munitions limités 1,Perforant 1
97;Flèche explosive;Lég;6;3;Moy;0;0;-;50;6;Souffle 4,Munitions limités 1
97;Flèche étourdissante;Lég;6;0;Moy;0;0;-;60;6;Munitions limités 1,Dégats Etourdissant
97;Lance styanax;Lou;8;3;Cou;8;2;-;200;8;Encombrant 4,Munitions limités 1,Perforant 3,Sanguinaire 1
Thrown;;;;;;;;;;;
;;;;;;;;-;;;
Others;;;;;;;;;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Brawling;;;;;;;;;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Melee;;;;;;;;;;;
97;Coutelas corrélien;CàC;2;3;Con;2;1;-;300;3;Parade 1,Sanguinaire 1
98;Rayon perforant J-7B;CàC;9;2;Con;6;0;-;3000;5;Brêche 1,Encombrant 4,Imprécis 2,Briseur
98;Pic à flash Drall;CàC;2;0;Con;2;2;-;375;4;Désorientation 3,Dégats Etourdissant
98;Glaive Selonien;CàC;3;3;Con;5;3;-;1200;7;Parade 1,Perforant 3
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Lightsaber;;;;;;;;;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
