Drogs;;;;;;
187;Bâton de la mort (1 dose);I;5;0;1;1 scène ajoute un dé noir à tous les jets, espérance de vie / 2
186;Booster bleu (1 dose);I;10;0;5;Augmente 1 test de Agi, Int ou Ruse 1 scène. Ne peut plus récupérer de stress pour la session
185;Epice d'Avabush (1 dose);I;25;0;6;Empêche de mentir, max 1 dé jaune, améliore diff de 1 jet tromperie
186;Glitterstim (1 dose);I;100;0;7;Télépathie limité, détruit le cerveau, Jet Per et vigilance + 3 dés bleu
187;Lesai (1 dose);I;500;0;9;Empêche de dormir pendant 24 heures, forte dépendance
187;Yarrock (1 dose);I;350;0;8;Résiste à la peur 1 scéne, 1 dé noir à présence et volonté pour la session
Illegal;;;;;;
188;Briseur de code;I;1000;1;6;+2 dés bleus test piratage
188;Trousse de camouflage techno-organique;I;2500;2;7;Diff 5 pour trouver l'identité du porteur
188;Système d'occultation personnel;I;20000;1;9;Diff 5 pour détecter le porteur, dégats annulent l'effet, dure 1 heure
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
