Weapon;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Armor;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Vehicle;;;;;;;
58;Auditorium de briefing ;-;2500;0;4;1;-1 dé noir pour la mission, Mods:+1Avantage jet commandement (2)
59;Ensemble anti-contremesures;-;3500;0;6;1;Annule contremesure,Jet Informatique diff3,Modd:Diff-1
59;Salle Holographique;-;5000;0;4;1;Utilise ArtDeLaGuerre ou Calme jet Init, Mod:+1Avantage jet commandement(2),Améliore Jet Initiative
59;Ensemble com-tactique et contrôle;-;4200;0;6;1;Améliore jet de combat de masse,Mods:Vigilance situationelle,-1 dé noir Perception  ou Vigilance
59;Salle de controle tactique;-;8500;0;6;2;Sil4 min,Améliore jet de combat de masse x 2,Mods:+1Avanatge(2),-1 dé Noir
;;-;;;;;
Crystal;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
