Communications;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Poisons;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Detection;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Medical;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Cybernetic;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Recreational;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Security;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Survival;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Tools;;;;;;
105;Chevalière Adamit;-;500;0;8;Planète Weik
105;Chronoscanner Barbottan;-;1200;0;2;Connaître la date de création d'un objet
105;Macro-jumelle de sport;-;250;1;2;5 km, -1 dé noir longue portée ou luminosité
105;Cutter thermique Copora-Tech;-;125;2;3;5 minutes, Dgt 4, crit 4, Incendiaire 1, Imprécis 2
106;Carte d'une vergence;-;1000;0;10;Jet astrogation diff 3 et 2 dés noirs, Avantages pour savoir si c'est réel
106;Bourse de mage;-;50;0;4;Planète Weik, Seuil Encombrement +1
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Droids;;;;;;
107;Droid caméléon;-;2000;0;7;Rival,Perception2,ArmeLourde1,Discretion2,+2DéBleuDiscretion
107;Gardien de pierre;-;5000;0;9;Athlétisme2,Pugilat3,Perception2,Vigilance2,Vigueur5
;;-;;;;
;;-;;;;
