Weapon;;;;;;;
54;Crosse personnalisée;-;500;0;1;6;-1dé noir,+2dés noir si pas le propriétaire,Mods:Précision+1
54;Xciter amélioré;I;1500;0;2;6;Blaster,Crit-1,2Désastres->Explose,Mods:Perforant+1(3)
54;Stabilisateur gyroscopique;-;1000;0;2;6;Lourde,Artillerie,Encombrant-1,Mods->Encombrant-1(3),TirDeBarrage
54;Scanner intégré;-;675;0;2;5;Lourde,Scanner général,+2Avantages jet Init,Mods:-1Dé noir(2)
54;Cellule énergétique optimisée;-;100;0;1;5;Energétique,+1désastre pour être à court de munitions
55;Module de surcharge;-;650;0;1;7;Pistolet,Carabine,Dgt+1,2Désastre Endommagé+1,Mods:Dgt+1
55;Chargeur rapide Xciter;-;750;0;1;7;Blaster,Automatique,Imprécis3,Mods:Imprécis-1(2)
55;Enlever les sécurités;I;250;0;0;2;Léger,Lourde,+1dé bleu 1er jet de combat,2Désastres->ACourtDeMnuitions,Stress+4
56;Blaster à ion secondaire;-;400;2;2;6;Dgt10,Crit5,Désorienté5,Ion,Encombrant+1,Encombrement+1,Mods:Dgt+1(2)
56;Détecteur sonore;-;1500;0;1;8;Lourde,Voir à travers les murs,Mods:SangFroid+1,Vigilance+1,CoupPrécis+1(2)
56;Allégement;-;250;-1;3;4;Léger,Lourde,Encombrement-1,Dissimulable1,Mods:Encombrement-1(2)
56;Sous canon grappin;-;500;2;2;3;Léger,Lourde,Grappin,Diff2,portée moy,AthlétismeDiff2 tirer une personne,Encombrement+2
56;Vibro-bayonnette;-;300;1;1;3;Lourde,Cac,Dgt+1,Crit2,Perforant2,Imprécis1,Sanguinaire1,Mods:Dgt+1(2)
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Armor;;;;;;;
57;Modification amphibie;-;500;0;1;4;
57;Forme personnalisée;-;400;0;1;3;
57;Équipement d'escalade intégré;-;350;0;2;3;
58;Equipement de slicer intégré;-;750;0;3;6;
58;Protection ionique;-;2000;0;1;7;
58;Protection contre les radiations;-;500;0;1;3;
58;Gants renforcés;-;250;0;2;2;
58;Système de réparation automatique;-;3000;0;2;6;
Vehicle;;;;;;;
65;Jambes tout-terrain8;-;3000;0;5;2;
65;Modification amphibie;-;1000;0;5;1;
65;Balise d'appat;I;5000;0;5;0;
65;Ordinateur encrypté;-;1000;0;6;0;
65;Repulseur amélioré;-;1000;0;3;1;
66;Bouclier hyperspatial amélioré;-;4000;0;5;1;
66;Cerveau droid de tir;-;7000;0;6;0;
66;Ensemble d'améliorations de laser;-;5000;0;6;2;
66;Moteur à ion surchargé;-;9500;0;4;3;
66;Appareil de camouflage;I;12000;0;8;1;
67;Transpondeur secondaire;I;20000;0;7;1;
67;Routine de sécurité;-;500;0;4;0;
67;Ordinateur de piratage;-;5000;0;6;1;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Crystal;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
