Weapon;;;;;;;
110;Silencieux à blaster;I;750;0;1;5;+2 dés noirs jet perception ou vigilance pour détecter le tir
110;Réducteur de signature;-;1000;0;1;6;Diff +2 pour trouver l'arme, +1 dé noir maintenance
110;Système de visée electronique;-;500;0;1;4;Visée comme une broutille à courte portée, Diff -1 pour trouver le tireur, mod : Précis+1
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Armor;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Vehicle;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Crystal;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
