Communications;;;;;;
111;Falsificateur de voix;-;1400;4;6;Quand utilise une autre voix améliore Charme, Coercition, Tromperie, Commandement, Négociation
111;Traducteur Polis Massan;-;50;1;6;Communicateur pour Polis Massan
111;Encrypteur de communication point à point;-;1000;0;7;Encrypte les communications des communicteur point à point
111;Communicateur Point à Point;-;100;2;7;Portée 25 km, Basse technologie, Peu détectable
112;Comlink Verpine;-;250;1;6;Fréquence verpine, 100 km
Poisons;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Detection;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Medical;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Cybernetic;;;;;;
112;Interface Droid  Neuro-Saav;-;600;0;4;Nécessite implant cognitif, Améliore jet informatique pour pirater un droid
112;Système de transport de données ;-;5000;0;6;Transporte des données, Utilisateur ne peut pas y accéder, port sous les cheveux
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Recreational;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Security;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Survival;;;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Tools;;;;;;
115;Botte de saut Aratech;-;2000;2;6;Saut 35m haut, Vitesse 2, Maniabilité -1, seuil de stress 3, pilotage planétaire
115;Branchie organique Mon Cal;-;200;1;5;Ne peut pas parler, Respirer sous l'eau, durée plusieurs semaines, Micro
115;Gant d'assemblage Verpine;-;250;1;6;+2 dés bleus Informatique et Mécanique (réparations déclicates), Magouille (crochetage, désarmer piège)
115;Bandeau Verpine;-;500;1;6;Peut dépasser seuil de stress, subit une blessure à la place, Désorienté
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
;;-;;;;
Droids;;;;;;
112;Droid medical CT-4;-;20000;0;8;Rival, Médecine, Perception, Xénologie, spécialiste bacta
113;Droid foret Q-4;-;2000;0;5;Minion, Droid de minage, Perception, Balster léger, 0.7m x 0.2m
113;Droid ouvrier J9;-;7000;0;3;Rival, Verpine, Protocole, insectoide, Education, Xénologie, Négociation
113;Droid de protocole Serie Siak;-;10000;0;4;Rival, Verpine, Buisness, Charme, Education, Xénologie, Négociation
114;Droid de réparation G2;-;6000;0;5;Rival, Sullustéen, Oie, Astrogation, Informatique, Mecanique, Pilotage espace
114;Droid éclaireur de surveillance ;-;2500;0;6;Rival, 8 pattes, 2m hauteur, Perception, Discretion, Survie
