Weapon;;;;;;;
51;Emetteur d'amortissement ;-;2000;0;1;7;
51;Cellule de surcharge énergétique ;-;500;0;1;6;
52;Poignée pistolet;-;750;0;2;5;
52;Prise réflexe;-;4000;0;2;8;
52;Poignée inversée personnalisée Shien;-;100;0;1;6;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Armor;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Vehicle;;;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
;;-;;;;;
Crystal;;;;;;;
42;Crystal Etaan;I;12000;0;1;9;
42;Crystal de feu fantôme;I;14000;0;1;9;
;;-;;;;;
;;-;;;;;
