Energy;;;;;;;;;;;
40;Fusil à proton M-90;Lou;10;2;Ext;6;2;I;3100;8;Précis 1,Encombrant 3,Renversement, Charger : Breche1, Choc2, Munitions1
41;Canon rotatif modèle 134A;Art;12;3;Lon;8;4;I;4500;7;Automatique,Encombrant 5,Perforant 3
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Slugthrowers;;;;;;;;;;;
40;Carabine intelligente a fléchette FWG7;Lou;5;2;Moy;5;3;-;1800;7;Souffle 4,Guidé 2,Perforant 3
41;Lanceur de lames à répulsion;Lég;5;2;Moy;2;1;-;850;7;Guidé 2,Munitions limités 1,Perforant 2,Sanguinaire 1
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Thrown;;;;;;;;;;;
;;;;;;;;-;;;
Others;;;;;;;;;;;
41;Lanceur de grenade rotatif;Art;8;4;Moy;5;3;I;1000;4;Souffle 6,Encombrant 3,Munitions limités 5
41;Fusil a rocket 'Bulldog';Lou;10;4;Lon;6;3;I;2200;7;Souffle 8,Encombrant 3,Guidé 3,Munitions limités 6
42;Fusil à dispersion Model 4;Lou;7;4;Cou;4;3;-;700;5;Souffle 5,Renversement,Sanguinaire 1
44;Grenade explosive ;Lég;10;5;Cou;1;0;I;100;5;Souffle 8,Choc 2,Désorientation 5,Munitions limités 1
45;Grenade incendiaire;Lég;8;3;Cou;1;0;I;125;6;Souffle 5,Incendiaire 3,Munitions limités 1
45;Grenade à ion;Lég;10;5;Cou;1;0;-;65;4;Souffle 7,Désorientation 5,Munitions limités 1,Dégats Etourdissant Droid
45;Grenade à plasma;Lég;12;3;Cou;1;0;-;125;6;Souffle 10,Munitions limités 1
45;Grenade sonic;Lég;10;4;Cou;1;0;I;250;8;Souffle 8,Désorientation 5,Munitions limités 1,Dégats Etourdissant
46;Missile explosif;Art;14;4;Ext;0;0;-;200;8;Souffle 10,Choc 3,Désorientation 5,Guidé 2
46;Missile à fragmentation;Art;12;4;Ext;0;0;-;75;7;Souffle 12,Guidé 3
46;Missile à perforation;Art;18;3;Lon;0;0;I;200;6;Souffle 6,Brêche 2,Guidé 2
46;Missile incendiaire;Art;10;3;Ext;0;0;I;145;7;Souffle 10,Incendiaire 3,Guidé 2
;;;;;;;;-;;;
;;;;;;;;-;;;
Brawling;;;;;;;;;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Melee;;;;;;;;;;;
42;Vibroépée à lame double;CàC;2;2;Con;4;3;-;1300;6;Parade 1,Jumelé 1,Perforant 2,Sanguinaire 1,Imprécis 3 
43;Bouclier anti-émeute;CàC;0;6;Con;5;1;-;300;4;Encombrant 3,Parade 2,Déviation 2,Désorientation 1
43;Epée énergétique 'Ripper' RS01;CàC;3;2;Con;4;3;-;1050;6;Encombrant 3,Perforant 2,Briseur,Renversement,Sanguinaire 2
43;Baton à choc;CàC;7;3;Cou;4;3;-;1500;7;Désorientation 2,Réglage étourdissant
;;;;;;;;-;;;
;;;;;;;;-;;;
;;;;;;;;-;;;
Lightsaber;;;;;;;;;;;
43;Sabre épée;Sab;7;2;Con;1;2;I;11000;10;Brêche 1,Briseur,Imprécis 3 
43;Grand sabre;Sab;3;2;Con;4;3;-;7500;8;Brêche 1,Briseur,Encombrant 3,Sanguinaire 3
43;Hache énergétique ;Sab;7;2;Con;2;3;I;12000;10;Brêche 1,Briseur,Encombrant 3
44;Sabre léger;Sab;5;2;Con;1;1;I;9850;10;Brêche 1,Briseur,Parade 2
43;Garde sabre épée;Sab;0;0;Con;1;4;-;600;6;Imprécis 3 
43;Garde grand sabre;Sab;0;0;Con;2;5;-;700;6;Encombrant 3
43;Garde sabre léger;Sab;0;0;Con;1;3;-;350;6;Parade 2
